user_id,avg_decision_time,risk_score,exploration_score,curiosity_score,information_score,time_pressure_efficiency,decision_consistency,decision_variance,risk_shift_over_time,hint_dependency_curve,exploration_depth,pressure_success_rate,option_entropy,timeout_rate,path_unlock_rate,event_count,confidence,curiosity,emotional_safety,exploratory_power
TCBIS0022,11.303,0.163,0.509,0.522,0.675,0.273,0.826,0.1,0.514,0.37,0.457,0.327,0.539,0.255,0.361,19,4.03,5.63,6.21,6.37
TCBIS0023,1.268,0.7,0.495,0.284,0.607,0.789,0.683,0.345,0.53,0.502,0.479,0.717,0.546,0.255,0.45,21,7.91,4.0,5.53,6.03
TCBIS0024,10.253,0.749,0.452,0.278,0.502,0.514,0.902,0.101,-0.151,0.286,0.359,0.819,0.49,0.079,0.185,24,6.86,4.44,6.97,4.5
TCBIS0025,7.754,0.116,0.176,0.424,0.648,0.57,0.616,0.334,0.367,0.361,0.205,0.719,0.94,0.1,0.258,14,7.21,5.9,5.54,4.13
TCBIS0026,1.475,0.775,0.194,0.326,0.545,0.78,0.969,0.068,-0.427,0.298,0.227,0.726,0.829,0.129,0.288,21,8.11,4.9,5.62,5.01
TCBIS0027,3.539,0.68,0.418,0.142,0.267,0.515,0.935,0.031,0.49,0.305,0.474,0.357,0.656,0.217,0.579,17,7.23,4.92,5.68,6.29
TCBIS0028,3.763,0.517,0.214,0.699,0.697,0.777,0.943,0.135,-0.028,0.043,0.199,0.862,0.681,0.009,0.171,13,9.02,6.83,7.13,4.44
TCBIS0029,1.827,0.652,0.13,0.348,0.669,0.859,0.784,0.234,0.332,0.076,0.277,0.901,0.834,0.083,0.55,24,9.47,5.2,7.11,4.27
TCBIS0030,9.555,0.397,0.258,0.852,0.681,0.292,0.467,0.513,0.394,-0.176,0.25,0.233,0.453,0.153,0.234,24,5.15,6.81,6.83,4.4
TCBIS0031,10.202,0.159,0.665,0.23,0.642,0.45,0.805,0.272,-0.115,0.615,0.541,0.642,0.466,0.075,0.312,15,6.99,4.33,6.63,6.46
TCBIS0032,1.073,0.517,0.678,0.88,0.934,0.658,0.697,0.23,-0.303,0.611,0.535,0.338,0.754,0.481,0.27,22,7.11,7.76,5.55,7.64
TCBIS0033,3.812,0.436,0.347,0.801,0.5,0.565,0.733,0.224,0.429,-0.314,0.349,0.438,0.666,0.021,0.354,20,6.62,6.42,7.07,5.02
TCBIS0034,4.557,0.457,0.48,0.658,0.338,0.454,0.919,0.064,-0.091,0.554,0.332,0.284,0.804,0.284,0.057,15,5.81,5.43,6.38,5.69
TCBIS0035,5.386,0.751,0.135,0.762,0.843,0.412,0.825,0.222,-0.134,-0.264,0.095,0.142,0.696,0.13,0.022,23,5.42,7.14,5.95,4.31
TCBIS0036,9.714,0.685,0.353,0.628,0.594,0.237,0.383,0.652,0.147,0.38,0.319,0.141,0.395,0.537,0.256,23,2.89,5.96,5.27,5.16
TCBIS0037,4.964,0.332,0.302,0.809,0.785,0.534,0.746,0.284,0.527,0.01,0.262,0.393,0.581,0.285,0.187,16,6.33,6.88,5.76,5.41
TCBIS0038,7.344,0.52,0.594,0.166,0.406,0.536,0.893,0.104,0.457,0.092,0.485,0.665,0.759,0.231,0.284,23,7.19,5.02,6.59,5.82
TCBIS0039,2.847,0.387,0.088,0.4,0.531,0.688,0.844,0.182,-0.455,-0.314,0.212,0.63,0.99,0.524,0.441,14,7.39,5.66,7.06,4.49
TCBIS0040,2.951,0.631,0.157,0.238,0.426,0.736,0.937,0.056,0.341,-0.321,0.206,0.768,0.794,0.275,0.298,22,8.45,5.54,7.04,3.94
TCBIS0041,8.523,0.433,0.476,0.126,0.415,0.621,0.93,0.098,-0.117,0.475,0.426,0.944,0.434,0.04,0.333,14,7.83,4.65,8.37,6.35
TCBIS0042,2.588,0.676,0.156,0.663,0.576,0.632,0.784,0.272,-0.363,0.495,0.213,0.476,0.761,0.094,0.319,23,6.73,7.57,6.14,4.71
TCBIS0043,6.11,0.232,0.157,0.468,0.398,0.642,0.823,0.134,-0.188,0.291,0.311,0.808,0.589,0.202,0.597,20,7.58,5.35,6.74,5.2
TCBIS0044,7.035,0.518,0.862,0.395,0.307,0.455,0.741,0.225,-0.06,0.191,0.701,0.483,0.555,0.58,0.402,17,5.55,4.72,6.76,7.22
TCBIS0045,10.756,0.453,0.409,0.412,0.668,0.25,0.666,0.265,0.237,0.147,0.326,0.235,0.393,0.51,0.171,16,4.69,5.35,6.31,4.55
TCBIS0046,3.098,0.741,0.376,0.317,0.259,0.709,0.834,0.112,0.54,0.088,0.458,0.756,0.497,0.52,0.61,20,6.69,4.34,6.39,5.37
TCBIS0047,7.995,0.222,0.485,0.551,0.689,0.617,0.92,0.136,-0.215,0.341,0.38,0.832,0.656,0.074,0.186,11,8.06,5.68,7.56,5.75
TCBIS0048,4.353,0.32,0.753,0.685,0.761,0.757,0.684,0.374,-0.253,-0.267,0.658,0.848,0.789,0.011,0.483,13,9.09,6.16,7.39,7.3
TCBIS0049,1.582,0.435,0.44,0.494,0.758,0.585,0.545,0.44,-0.549,0.372,0.441,0.253,0.483,0.598,0.443,14,4.96,6.36,6.07,6.16
TCBIS0050,4.659,0.462,0.029,0.856,0.489,0.389,0.91,0.159,-0.38,0.375,0.281,0.115,0.273,0.031,0.749,15,6.89,7.07,7.96,4.32
TCBIS0051,4.209,0.468,0.207,0.503,0.44,0.633,0.8,0.14,-0.523,0.321,0.196,0.633,0.497,0.013,0.175,24,7.7,5.65,7.42,4.22
TCBIS0052,3.396,0.449,0.678,0.251,0.452,0.662,0.898,0.157,0.105,0.354,0.472,0.633,0.376,0.153,0.09,12,7.23,4.75,7.53,5.62
TCBIS0053,5.088,0.148,0.508,0.612,0.582,0.571,0.758,0.297,0.304,0.05,0.371,0.53,0.689,0.601,0.118,10,6.38,6.07,4.59,5.96
TCBIS0054,8.619,0.279,0.406,0.516,0.599,0.387,0.639,0.284,0.155,0.581,0.371,0.39,0.81,0.138,0.307,10,6.04,6.36,5.85,5.8
TCBIS0055,6.595,0.586,0.1,0.856,0.578,0.605,0.609,0.44,0.497,0.6,0.12,0.724,0.854,0.202,0.157,21,6.51,7.14,6.14,4.11
TCBIS0056,9.747,0.201,0.301,0.486,0.45,0.468,0.788,0.147,-0.345,0.435,0.306,0.69,0.591,0.104,0.314,24,6.58,5.64,6.87,4.81
TCBIS0057,8.308,0.595,0.51,0.525,0.594,0.474,0.984,0.091,0.343,-0.308,0.477,0.56,0.797,0.071,0.415,24,7.6,6.13,7.04,6.22
TCBIS0058,9.297,0.484,0.744,0.146,0.401,0.243,0.675,0.269,-0.359,-0.309,0.621,0.165,0.4,0.26,0.392,14,4.52,4.25,6.23,6.89
TCBIS0059,7.703,0.403,0.266,0.471,0.298,0.485,0.846,0.191,-0.413,0.099,0.179,0.604,0.874,0.205,0.018,14,6.58,5.38,7.45,4.71
TCBIS0060,7.5,0.615,0.499,0.197,0.607,0.298,0.634,0.358,0.118,0.602,0.368,0.105,0.543,0.437,0.124,24,4.53,5.26,4.93,5.83
TCBIS0061,4.099,0.4,0.661,0.851,0.7,0.678,0.738,0.203,0.204,-0.209,0.508,0.666,0.752,0.048,0.223,22,7.22,6.54,7.8,5.74
TCBIS0062,9.904,0.551,0.634,0.092,0.054,0.281,0.826,0.096,0.017,0.046,0.499,0.374,0.787,0.434,0.247,18,4.38,2.8,6.97,6.54
TCBIS0063,4.101,0.495,0.057,0.291,0.629,0.478,0.96,0.087,0.244,0.249,0.11,0.237,0.476,0.223,0.209,15,6.37,6.22,7.17,3.9
TCBIS0064,5.325,0.326,0.906,0.635,0.779,0.546,0.834,0.231,-0.294,0.054,0.759,0.449,0.615,0.281,0.486,16,7.3,6.74,6.28,7.98
TCBIS0065,10.227,0.458,0.877,0.746,0.779,0.488,0.8,0.14,-0.01,0.455,0.64,0.697,0.705,0.118,0.199,15,6.97,6.85,7.58,7.57
TCBIS0066,6.203,0.242,0.263,0.808,0.825,0.393,0.902,0.102,0.325,0.441,0.344,0.167,0.664,0.107,0.493,21,6.19,7.06,5.94,5.17
TCBIS0067,4.828,0.713,0.721,0.331,0.399,0.711,0.859,0.067,0.496,-0.044,0.695,0.863,0.816,0.222,0.647,17,7.44,3.84,5.89,7.21
TCBIS0068,8.962,0.648,0.362,0.134,0.344,0.471,0.593,0.455,0.432,0.174,0.314,0.659,0.757,0.321,0.225,12,6.32,4.19,6.72,5.45
TCBIS0069,4.527,0.349,0.145,0.675,0.828,0.606,0.892,0.123,0.485,0.246,0.269,0.51,0.753,0.027,0.498,23,7.29,6.38,6.94,5.12
TCBIS0070,11.425,0.638,0.568,0.348,0.698,0.471,0.81,0.144,-0.268,0.645,0.382,0.771,0.486,0.084,0.037,11,6.95,5.47,6.59,5.64
TCBIS0071,9.795,0.392,0.373,0.625,0.514,0.509,0.857,0.154,0.271,0.215,0.255,0.77,0.79,0.041,0.037,20,7.35,6.31,7.22,5.66
TCBIS0072,7.877,0.197,0.78,0.41,0.259,0.378,0.756,0.317,0.322,0.01,0.538,0.389,0.501,0.135,0.089,22,6.36,5.45,6.31,6.65
TCBIS0073,8.621,0.813,0.467,0.36,0.632,0.372,0.57,0.391,0.002,0.107,0.371,0.35,0.685,0.328,0.194,22,5.16,4.87,4.4,6.12
TCBIS0074,2.205,0.292,0.571,0.466,0.474,0.521,0.992,0.086,0.178,-0.264,0.5,0.223,0.708,0.293,0.369,17,6.9,4.79,6.92,6.91
TCBIS0075,5.025,0.317,0.065,0.415,0.532,0.61,0.966,0.055,-0.041,0.061,0.125,0.624,0.968,0.047,0.236,15,8.39,4.78,6.36,4.8
TCBIS0076,2.904,0.61,0.535,0.544,0.673,0.728,0.81,0.227,-0.191,0.236,0.489,0.691,0.808,0.045,0.404,23,8.27,5.33,6.78,6.78
TCBIS0077,9.184,0.491,0.478,0.246,0.558,0.374,0.688,0.388,-0.142,-0.021,0.324,0.414,0.442,0.021,0.039,18,6.11,4.94,6.24,5.02
TCBIS0078,9.008,0.252,0.39,0.76,0.483,0.261,0.729,0.313,-0.224,0.291,0.421,0.165,0.824,0.506,0.48,23,4.12,6.98,5.86,6.55
TCBIS0079,7.43,0.515,0.693,0.635,0.502,0.446,0.775,0.18,0.172,0.556,0.66,0.452,0.887,0.35,0.599,24,6.14,5.95,6.76,8.43
TCBIS0080,11.387,0.174,0.798,0.273,0.447,0.279,0.526,0.517,-0.386,-0.107,0.661,0.397,0.862,0.137,0.407,14,4.42,4.78,6.13,7.52
TCBIS0081,4.921,0.757,0.889,0.52,0.338,0.604,0.578,0.471,-0.174,-0.106,0.691,0.645,0.951,0.01,0.323,22,7.56,5.01,5.99,7.39
TCBIS0082,10.555,0.772,0.423,0.201,0.571,0.443,0.934,0.088,-0.109,0.545,0.288,0.669,0.401,0.052,0.038,16,7.57,4.69,6.43,4.73
TCBIS0083,3.418,0.768,0.231,0.95,0.583,0.745,0.871,0.19,-0.157,0.203,0.283,0.789,0.648,0.089,0.38,16,8.67,7.53,6.23,4.79
TCBIS0084,8.41,0.219,0.175,0.772,0.741,0.467,0.824,0.13,-0.491,0.361,0.177,0.519,0.547,0.088,0.18,16,6.87,6.99,6.2,4.13
TCBIS0085,10.322,0.279,0.375,0.713,0.576,0.347,0.935,0.111,-0.452,-0.196,0.264,0.437,0.646,0.168,0.059,19,6.18,6.43,6.56,4.4
TCBIS0086,10.378,0.312,0.802,0.319,0.455,0.456,0.797,0.267,0.535,0.634,0.562,0.71,0.635,0.202,0.115,22,6.72,5.39,6.18,7.08
TCBIS0087,1.229,0.135,0.146,0.741,0.526,0.799,0.826,0.136,-0.391,0.389,0.191,0.753,0.392,0.101,0.275,13,8.3,6.4,7.45,3.51
TCBIS0088,3.837,0.295,0.468,0.295,0.478,0.708,0.798,0.227,0.243,0.292,0.426,0.763,0.655,0.023,0.347,24,7.83,5.03,6.49,5.75
TCBIS0089,8.132,0.726,0.635,0.386,0.667,0.589,0.636,0.343,0.079,0.524,0.437,0.786,0.392,0.194,0.069,19,7.47,6.59,6.06,5.93
TCBIS0090,8.224,0.666,0.418,0.772,0.825,0.667,0.446,0.517,-0.527,-0.348,0.333,0.932,0.776,0.106,0.174,23,7.89,5.83,6.36,5.55
TCBIS0091,10.145,0.273,0.813,0.953,0.94,0.333,0.682,0.321,-0.067,0.502,0.584,0.312,0.353,0.143,0.159,21,4.93,7.81,6.93,6.55
TCBIS0092,9.329,0.703,0.873,0.903,0.763,0.267,0.924,0.138,-0.151,0.279,0.605,0.142,0.33,0.17,0.108,20,5.38,6.81,5.85,6.49
TCBIS0093,7.684,0.578,0.503,0.827,0.875,0.409,0.396,0.558,-0.401,0.637,0.445,0.305,0.68,0.111,0.338,18,5.92,7.24,5.99,5.43
TCBIS0094,7.349,0.29,0.134,0.495,0.45,0.409,0.768,0.272,0.368,-0.154,0.216,0.375,0.918,0.085,0.368,18,6.29,5.73,6.16,3.71
TCBIS0095,10.9,0.908,0.288,0.279,0.128,0.086,0.456,0.569,-0.144,-0.118,0.206,0.001,0.893,0.661,0.053,15,2.6,4.34,4.02,5.27
TCBIS0096,7.715,0.194,0.48,0.802,0.455,0.551,0.702,0.352,-0.298,-0.268,0.55,0.717,0.615,0.171,0.68,10,7.66,6.05,6.0,6.73
TCBIS0097,3.251,0.684,0.408,0.434,0.592,0.594,0.766,0.279,-0.245,0.585,0.374,0.438,0.822,0.276,0.312,16,6.24,6.41,5.87,5.39
TCBIS0098,7.272,0.121,0.183,0.868,0.922,0.454,0.9,0.165,0.213,-0.03,0.171,0.364,0.959,0.089,0.148,14,6.31,7.24,5.96,3.89
TCBIS0099,5.379,0.487,0.766,0.905,0.879,0.727,0.77,0.258,0.025,-0.113,0.619,0.834,0.709,0.12,0.345,11,8.67,7.14,7.57,7.87
TCBIS0100,5.188,0.212,0.54,0.617,0.698,0.59,0.837,0.096,0.263,0.62,0.405,0.556,0.154,0.126,0.155,12,7.61,6.56,6.23,5.36
TCBIS0101,3.683,0.658,0.204,0.59,0.327,0.566,0.935,0.119,0.259,-0.186,0.446,0.468,0.986,0.418,0.895,23,6.59,5.5,5.33,6.23
TCBIS0102,4.538,0.68,0.032,0.621,0.771,0.692,0.82,0.152,-0.247,0.032,0.048,0.716,0.981,0.115,0.078,24,7.68,7.0,6.58,4.16
TCBIS0103,5.854,0.592,0.375,0.81,0.593,0.539,0.772,0.151,-0.243,-0.296,0.375,0.516,0.572,0.039,0.376,10,7.1,7.16,6.78,5.51
TCBIS0104,10.898,0.636,0.318,0.424,0.318,0.168,0.354,0.577,0.464,-0.234,0.253,0.141,0.819,0.249,0.132,13,4.3,4.79,6.31,5.47
TCBIS0105,10.51,0.843,0.229,0.547,0.741,0.341,0.777,0.264,-0.396,0.232,0.364,0.402,0.83,0.36,0.616,14,4.92,6.66,5.42,4.91
TCBIS0106,6.342,0.178,0.329,0.452,0.337,0.466,0.755,0.226,0.306,0.213,0.384,0.449,0.749,0.162,0.487,17,6.96,5.05,5.81,5.43
TCBIS0107,5.41,0.667,0.335,0.523,0.41,0.416,1.0,0.05,-0.375,0.591,0.277,0.25,0.718,0.176,0.169,18,6.05,5.49,5.73,4.92
TCBIS0108,7.309,0.505,0.613,0.347,0.298,0.526,0.792,0.23,0.41,0.157,0.466,0.666,0.686,0.278,0.193,10,6.52,4.53,7.1,5.84
TCBIS0109,2.351,0.533,0.519,0.908,0.482,0.771,0.724,0.287,0.056,0.126,0.448,0.786,0.468,0.181,0.315,20,7.67,7.48,7.78,7.06
TCBIS0110,8.241,0.174,0.024,0.651,0.347,0.289,0.864,0.197,0.257,0.269,0.045,0.2,0.206,0.061,0.085,23,5.73,5.28,6.01,3.24
TCBIS0111,9.655,0.713,0.526,0.572,0.442,0.259,0.847,0.204,-0.012,-0.068,0.356,0.219,0.485,0.477,0.04,23,5.0,5.46,5.94,6.23
TCBIS0112,5.979,0.082,0.778,0.576,0.585,0.586,0.661,0.277,-0.294,0.474,0.7,0.632,0.548,0.022,0.555,14,7.21,5.64,5.61,7.35
TCBIS0113,3.124,0.73,0.79,0.552,0.433,0.568,0.813,0.174,-0.032,-0.135,0.573,0.407,0.584,0.111,0.169,14,6.83,6.65,5.5,6.75
TCBIS0114,3.036,0.45,0.34,0.661,0.719,0.735,0.578,0.373,0.259,0.557,0.326,0.708,0.811,0.012,0.301,11,7.27,6.53,8.0,5.15
TCBIS0115,2.231,0.036,0.4,0.087,0.294,0.65,0.641,0.326,-0.305,0.009,0.507,0.55,0.744,0.116,0.705,23,7.66,3.94,5.48,6.42
TCBIS0116,10.812,0.688,0.439,0.383,0.662,0.316,0.745,0.187,-0.23,-0.324,0.308,0.386,0.34,0.094,0.065,19,4.82,5.77,5.6,4.89
TCBIS0117,10.134,0.524,0.124,0.107,0.112,0.348,0.842,0.206,-0.414,0.645,0.142,0.529,0.743,0.088,0.175,15,5.71,3.28,6.82,3.52
TCBIS0118,9.887,0.891,0.437,0.326,0.218,0.238,0.921,0.138,0.191,-0.141,0.369,0.241,0.465,0.107,0.244,17,5.38,4.37,5.19,5.47
TCBIS0119,11.209,0.639,0.497,0.392,0.484,0.402,0.589,0.424,-0.548,0.494,0.408,0.647,0.87,0.068,0.242,20,7.08,4.99,6.67,5.68
TCBIS0120,5.113,0.484,0.213,0.426,0.465,0.585,0.874,0.194,0.148,0.624,0.19,0.591,0.857,0.315,0.146,14,6.89,5.78,7.05,4.46
TCBIS0121,2.236,0.45,0.46,0.781,0.875,0.558,1.0,0.066,-0.464,0.296,0.444,0.217,0.892,0.369,0.413,21,6.51,7.39,7.58,5.27
TCBIS0122,4.702,0.156,0.4,0.275,0.216,0.472,0.814,0.12,-0.242,-0.166,0.539,0.363,0.724,0.258,0.798,12,6.8,4.39,4.74,6.1
TCBIS0123,3.117,0.153,0.788,0.767,0.76,0.551,0.891,0.184,-0.479,0.618,0.655,0.295,0.743,0.218,0.408,12,7.25,7.43,5.32,7.4
TCBIS0124,6.598,0.728,0.968,0.093,0.381,0.446,0.948,0.008,0.188,-0.042,0.777,0.415,0.77,0.111,0.422,17,6.8,4.42,6.19,8.54
TCBIS0125,9.238,0.553,0.22,0.781,0.398,0.318,0.84,0.18,-0.496,-0.308,0.233,0.329,0.829,0.3,0.256,16,6.16,5.92,6.47,4.33
TCBIS0126,1.401,0.813,0.425,0.528,0.375,0.607,0.81,0.25,-0.279,0.256,0.369,0.373,0.79,0.081,0.264,19,6.94,6.32,6.21,4.73
TCBIS0127,8.615,0.201,0.135,0.304,0.221,0.367,0.755,0.318,0.105,0.596,0.207,0.429,0.619,0.677,0.341,15,3.53,4.94,5.56,4.01
TCBIS0128,8.984,0.214,0.393,0.486,0.256,0.433,0.749,0.313,-0.407,-0.295,0.373,0.596,0.328,0.1,0.337,18,6.35,4.55,6.74,5.01
TCBIS0129,1.073,0.317,0.51,0.204,0.543,0.714,0.66,0.276,-0.18,0.59,0.455,0.548,0.524,0.139,0.353,14,7.56,3.96,6.82,6.01
TCBIS0130,9.758,0.713,0.518,0.629,0.801,0.407,0.879,0.166,-0.117,0.64,0.452,0.476,0.627,0.085,0.33,24,6.51,6.53,6.35,5.57
TCBIS0131,10.166,0.8,0.488,0.935,0.76,0.542,0.862,0.186,0.104,0.518,0.452,0.817,0.385,0.255,0.384,11,7.18,7.2,6.93,6.12
TCBIS0132,8.108,0.57,0.339,0.492,0.673,0.597,0.953,0.046,0.506,-0.148,0.241,0.801,0.942,0.071,0.058,10,8.76,6.22,6.28,4.42
TCBIS0133,3.51,0.692,0.609,0.399,0.429,0.559,0.966,0.024,-0.175,-0.184,0.493,0.416,0.729,0.23,0.277,19,7.38,5.07,6.05,6.17
TCBIS0134,10.112,0.511,0.604,0.331,0.445,0.224,0.975,0.09,0.508,-0.258,0.465,0.177,0.624,0.02,0.208,19,5.3,5.97,6.03,6.3
TCBIS0135,10.186,0.452,0.563,0.599,0.742,0.414,0.676,0.295,-0.222,-0.076,0.41,0.539,0.553,0.143,0.127,17,6.38,6.62,7.52,5.19
TCBIS0136,3.776,0.505,0.7,0.755,0.733,0.74,0.947,0.128,0.444,0.116,0.542,0.773,0.639,0.078,0.25,19,8.88,6.61,8.1,7.08
TCBIS0137,2.823,0.542,0.477,0.224,0.383,0.46,0.598,0.381,-0.451,0.385,0.381,0.155,0.615,0.097,0.203,12,6.12,4.44,6.27,5.4
TCBIS0138,6.658,0.588,0.323,0.249,0.381,0.679,0.665,0.26,0.148,0.298,0.338,0.936,0.44,0.051,0.366,11,8.21,4.55,6.85,5.18
TCBIS0139,5.641,0.663,0.239,0.207,0.364,0.432,0.878,0.06,-0.203,0.642,0.277,0.314,0.415,0.112,0.349,20,5.68,4.01,6.34,4.72
TCBIS0140,1.808,0.456,0.433,0.139,0.495,0.727,0.984,0.061,-0.346,0.421,0.307,0.644,0.336,0.179,0.072,13,8.91,3.89,7.63,5.02
TCBIS0141,1.445,0.671,0.578,0.785,0.714,0.571,0.702,0.329,0.042,0.449,0.552,0.221,0.877,0.127,0.504,22,6.16,6.5,5.15,6.44
TCBIS0142,3.484,0.364,0.305,0.665,0.499,0.648,0.755,0.175,0.173,0.37,0.365,0.597,0.901,0.251,0.476,18,7.0,6.39,7.32,5.24
TCBIS0143,7.138,0.192,0.806,0.269,0.375,0.408,0.596,0.362,0.143,-0.073,0.758,0.373,0.913,0.064,0.668,21,5.95,4.64,6.69,7.93
TCBIS0144,6.588,0.233,0.682,0.309,0.474,0.35,0.54,0.416,-0.117,-0.174,0.526,0.18,0.861,0.337,0.236,16,5.56,3.87,5.4,6.68
TCBIS0145,2.145,0.521,0.324,0.386,0.526,0.538,0.941,0.123,-0.238,0.126,0.377,0.244,0.299,0.23,0.474,23,6.28,4.93,6.89,5.11
TCBIS0146,8.082,0.367,0.626,0.166,0.428,0.418,1.0,0.05,-0.04,0.1,0.463,0.455,0.781,0.032,0.159,20,7.01,4.19,7.08,6.71
TCBIS0147,8.73,0.522,0.332,0.679,0.625,0.477,0.694,0.34,-0.273,0.606,0.385,0.593,0.864,0.18,0.482,12,6.39,6.97,6.19,5.43
TCBIS0148,1.111,0.698,0.469,0.558,0.278,0.819,0.875,0.106,-0.187,0.629,0.37,0.844,0.695,0.037,0.187,22,8.87,4.94,5.82,5.76
TCBIS0149,1.285,0.438,0.198,0.154,0.076,0.768,0.879,0.153,-0.071,-0.193,0.19,0.788,0.476,0.262,0.174,21,8.05,3.31,6.84,3.36
TCBIS0150,10.401,0.967,0.801,0.334,0.342,0.357,0.641,0.386,-0.499,0.608,0.614,0.517,0.648,0.013,0.268,11,6.18,4.04,4.8,7.34
TCBIS0151,8.489,0.201,0.756,0.543,0.566,0.323,0.838,0.226,-0.154,0.5,0.598,0.244,0.83,0.149,0.304,16,5.56,6.1,5.24,7.54
TCBIS0152,5.401,0.281,0.273,0.395,0.205,0.537,0.469,0.473,0.125,0.427,0.22,0.563,0.734,0.353,0.122,10,6.05,4.77,5.78,4.51
TCBIS0153,7.085,0.244,0.467,0.786,0.492,0.42,0.84,0.085,-0.266,-0.156,0.384,0.368,0.641,0.052,0.23,16,6.77,7.18,5.33,5.75
TCBIS0154,7.049,0.486,0.492,0.349,0.686,0.286,0.901,0.061,-0.502,0.069,0.455,0.026,0.921,0.227,0.385,15,5.19,5.46,7.35,6.24
TCBIS0155,1.941,0.438,0.42,0.459,0.521,0.665,0.525,0.461,0.409,0.524,0.503,0.511,0.681,0.316,0.658,22,6.86,5.42,6.61,6.11
TCBIS0156,4.587,0.694,0.509,0.449,0.206,0.627,0.841,0.129,-0.289,-0.077,0.468,0.7,0.635,0.162,0.392,14,7.22,5.21,6.31,6.3
